box,folder_number,foldername_short,foldername_full,doc_id,filename,author,title,date,first_page,last_page,metadata_added_by,doc_type,recipients,cced,notes,metadata_specialist_notes
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",10,1_2_project_proposal_contract_10,"Beckley, L. E.",Revised Proposal for Extension to Contract N5ori-06001,1956-01-23,24,27,myke,proposal,Director ONR/Boston,"ONR/MIT; ONR/Washington; Giroux, F. A.; Floe, C. F.; Morse, Philip M.; Verzuh, F. M.",Contract Number N5ori-06001,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",11,1_2_project_proposal_contract_11,"Beckley, L. E.",Revised Proposal for Extension to Contract N5ori-06001,1956-01-23,28,31,myke,proposal,Director ONR/Boston,"ONR/MIT; ONR/Washington; Giroux, F. A.; Floe, C. F.; Morse, Philip M.; Verzuh, F. M.",Contract Number N5ori-06001; copy of previous one,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",12,1_2_project_proposal_contract_12,"Mealy, M. E.",Notice of Receipt of Signed Contract,None,32,32,stephan,receipt,None,None,scan cut off half of the page,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",13,1_2_project_proposal_contract_13,"Mealy, M. E.",Notice of Contract Pending,1956-05-02,34,34,mingfei,notice,"Morse, Philip M.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",14,1_2_project_proposal_contract_14,"Bond, Doris",Change in Project Supervisor,1956-01-25,33,33,emily,notice,None,None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",15,1_2_project_proposal_contract_15,"Morse, Philip M.",Blank invoice sheet for Project No. - 2-6345,None,35,35,ife,Unknown,None,None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",16,1_2_project_proposal_contract_16,"Rogers, A. P.","Property Numbering - Projects in the 7,000's",None,36,36,kate,notice,None,None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",17,1_2_project_proposal_contract_17,"Beckley, L. E.",Letter to the Director of Office of Naval Research,1956-01-18,37,39,samantha,letter,Director ONR/Boston,None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",18,1_2_project_proposal_contract_18,"Beckley, L. E.",Letter to the Director of the Office of Naval Research,1956-01-18,40,42,sophia,letter,Director ONR/Boston,None,Copy of 1_project_proposal_contract_17,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",19,1_2_project_proposal_contract_19,"Bond, Doris",Notice of Reciept of Signed Contract,1955-06-30,43,43,isaac,receipt,DIC Fiscal Patent Office,None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",20,1_2_project_proposal_contract_20,ONR/Washington,Amendment 23 to Contract N5ori-60,1955-06-30,44,44,keith,contract; amendment,MIT,None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",21,1_2_project_proposal_contract_21,"Bond, Doris",Notice of Contract Pending,1955-09-06,45,45,stephan,notice,None,None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",22,1_2_project_proposal_contract_22,"Beckley, L. E.",Letter to the Director of the Office of Naval Research,1955-04-14,46,46,elsa,letter,Director ONR/Boston,"Soderberg, C. R.; ONR/MIT; ONR/Washington; Giroux, F. A.; Morse, P. M.; Porter, J. D.",None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",23,1_2_project_proposal_contract_23,"Morse, Philip M.; Porter, J.D.",Continuation of Contract N5ori06001,1955-04-06,47,48,charlotte,memo,"Foster, F. L.",None,None,//Mingfei: is this actually a memo? Seems to be a request for funds
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",24,1_2_project_proposal_contract_24,"Morse, Philip M.; Porter, J.D.",Continuation of Contract N5ori06001,1955-04-06,49,50,kelsey,memo,"Foster, F. L.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",25,1_2_project_proposal_contract_25,"Morse, Philip M.; Porter, J.D.",Continuation of Contract N5ori06001,1955-04-06,51,52,shobhita,memo,"Foster, F. L.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",26,1_2_project_proposal_contract_26,"Morse, Philip M.; Porter, J.D.",Continuation of Contract N5ori06001,1955-04-06,53,54,assel,memo,"Foster, F. L.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",27,1_2_project_proposal_contract_27,"Morse, Philip M.; Porter, J.D.",Continuation of Contract N5ori06001,1955-04-06,55,56,maritza,memo,"Foster, F. L.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",28,1_2_project_proposal_contract_28,"Morse, Philip M.; Porter, J.D.",Continuation of Contract N5ori06001 Rough Draft,1955-04-01,57,58,mingfei,memo draft,"Foster, F. L.","Forrester, J. W.",likely that this was a draft that was never sent out,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",29,1_2_project_proposal_contract_29,Unknown,Continuation of Contract N5ori06001 Handwritten Rough Draft,Unknown,59,60,mingfei,memo draft,None,None,"appears to be a handwritten draft of ""Continuation of Contract N5ori06001""","//Mingfei: Likely that authors are still Morse and Porter, but it isn't explicitly said. Should it be left unknown or guessed?"
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",30,1_2_project_proposal_contract_30,Unknown,Comments on Attached Proposal for Continuation of Contract N5ori06001,Unknown,61,61,mingfei,addendum,None,None,should be attached to previous documents?,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",31,1_2_project_proposal_contract_31,"Porter, Jack D.",Letter to P. M. Morse,1955-04-01,62,62,kate,letter,"Morse, Philip M.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",32,1_2_project_proposal_contract_32,"Healy, A. H.",ONR/Boston Notice to All Contractors,1953-07-27,63,64,elsa,notice,None,None,Recipients aren't listed,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",33,1_2_project_proposal_contract_33,"Muckenhoupt, C. F.",Letter to P. M. Morse,1954-05-11,65,65,elsa,letter,"Morse, Philip M.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",34,1_2_project_proposal_contract_34,"Ferreira, Mary",Notice of Receipt of Signed Contract,1955-02-28,66,66,elsa,notice,DIC Fiscal Patent Office,None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",35,1_2_project_proposal_contract_35,"Beckley, L. E.",Letter to Lt. G. R. Thompson,1954-04-16,67,68,elsa,letter,"Thompson, G. R.","Morse, Phillip M.; Verzuh, F. M.",None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",36,1_2_project_proposal_contract_36,"Ferreira, Mary",Notice of Receipt of Signed Contract,1955-02-28,69,69,elsa,notice,DIC Fiscal Patent Office,None,Seems to be  a duplicate of Doc 34 (pg. 66),
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",37,1_2_project_proposal_contract_37,"Thompson, G. R.",Change Order,1954-12-10,70,70,elsa,change order,"Cusick, P. V.",None,,//Elsa: Uncertain of how I title/classified this document. Thoughts?
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",38,1_2_project_proposal_contract_38,"Koek, A. K.",Memorandum to P. M. Morse,1954-04-12,71,71,elsa,memo,"Morse, Philip M.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",39,1_2_project_proposal_contract_39,"McCabe, R. F.",Letter to L. E. Beckley,1954-04-06,72,72,elsa,letter,"Beckley, L. E.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",40,1_2_project_proposal_contract_40,"Beckley, L. E.",Letter to P. M. Morse,1954-01-15,73,73,elsa,letter,"Morse, Philip M.","Forrester, J. W.",None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",41,1_2_project_proposal_contract_41,Unknown,Committee on Mechanical Aids to Computation,Unknown,74,75,elsa,Unknown,Unknown,Unknown,Original draft,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",42,1_2_project_proposal_contract_42,Unknown,Committee on Mechanical Aids to Computation,Unknown,76,77,kate,Unknown,Unknown,Unknown,Appears to be duplicate of doc 41,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",43,1_2_project_proposal_contract_43,Unknown,Committee on Mechanical Aids to Computation,Unknown,78,79,kate,Unknown,Unknown,Unknown,Appears to be duplicate of doc 41,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",44,1_2_project_proposal_contract_44,Unknown,Committee on Mechanical Aids to Computation,Unknown,80,81,kate,Unknown,Unknown,Unknown,Contains numerous edits and seems to be rough draft for doc 41,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",45,1_2_project_proposal_contract_45,"Sage, N. M.",Letter to Air Research and Development Command,1951-11-23,82,83,samantha,letter,Commanding General Air Research and Development Command,"Morse, Phillip M.; Lt. Col. Henry, WCRR","Handwriting near staple, and appears to be two seperate letters stapled together",
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",46,1_2_project_proposal_contract_46,"Morse, Philip M.",Request for Project Extension,1951-11-29,84,87,samantha,memo,"Sage, N. M.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",47,1_2_project_proposal_contract_47,D.I.C. Office,New Project Notice,1951-07-23,88,88,samantha,memo,Robnett,None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",48,1_2_project_proposal_contract_48,Unknown,Receipt of Signed Contract,Unknown,89,89,samantha,memo,"Foster, F. L.; Unknown",Dept. of Physics,Partial Scan,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",49,1_2_project_proposal_contract_49,"Fahnestock, Harris",Extension of Contract N5ori 06001,1953-01-29,90,92,samantha,memo draft,"Morse, Philip M.","Ryder, F. C.",None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",50,1_2_project_proposal_contract_50,Unknown,Handwritten Notes Relating to Money for the First Year,Unknown,93,93,samantha,Unknown,Unknown,Unknown,Handwriting is fairly hard to read. Appears to be referring to some type of of expenditure count,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",51,1_2_project_proposal_contract_51,Siby1,Memo to P. M. Morse,1954-01-23,94,94,samantha,memo,"Morse, Philip M.",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",52,1_2_project_proposal_contract_52,"Ryder, F. C.",Contract Ammendment Proposal,1952-10-20,95,97,samantha,contract; amendment,Commanding General Air Research and Development Command,"Morse, Philip M.",None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",53,1_2_project_proposal_contract_53,"Morse, Philip M.",Memo to Dr. F. Leroy Foster,1952-10-15,98,98,samantha,memo,"Foster, F. Leroy",None,None,
1,2,project_proposal_contract,"Project Proposal, Contract Correspondence, Division of Industrial Cooperation (DIC)",54,1_2_project_proposal_contract_54,"Fahnestock, Harris",Memo to P. M. Morse,1951-11-30,99,99,samantha,memo,"Morse, Philip M.",Committee Members,"In reference to something that needs to be approved, but original document is unknown. Additionally, handwritten notes say that one copy was sent to each member on the committee",
1,7,nsf_cor,NSF Correspondence,1,1_7_nsf_cor_1,"Morse, Philip M.",Letter to Raymond Seeger,1959-02-25,1,1,assel,letter,"Seeger, Raymond",FMV,None,
1,7,nsf_cor,NSF Correspondence,2,1_7_nsf_cor_2,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1958",None,2,4,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,3,1_7_nsf_cor_3,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1959",None,5,7,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,4,1_7_nsf_cor_4,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1960",None,8,10,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,5,1_7_nsf_cor_5,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1961",None,11,13,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,6,1_7_nsf_cor_6,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1962",None,14,16,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,7,1_7_nsf_cor_7,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1958",None,17,25,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,8,1_7_nsf_cor_8,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1958",None,26,34,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,9,1_7_nsf_cor_9,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1958",None,35,43,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,10,1_7_nsf_cor_10,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1958",None,44,52,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,11,1_7_nsf_cor_11,"Morse, Philip M. ","Proposal for Extension of NSF Grant No. NSFG2940 to June 30, 1959",None,53,61,assel,proposal,None,None,None,
1,7,nsf_cor,NSF Correspondence,12,1_7_nsf_cor_12,"Morse, Philip M. ",Letter to R. P. Webber,1957-04-02,62,62,carol,letter,"Webber, R. P.",None,None,
1,7,nsf_cor,NSF Correspondence,13,1_7_nsf_cor_13,"Morse, Philip M.",Letter to L. Cohen,1957-04-03,63,63,carol,letter,"Cohen, L.",None,None,
1,7,nsf_cor,NSF Correspondence,14,1_7_nsf_cor_14,"Morse, Philip M.",Letter to L. Cohen,1957-03-13,64,64,carol,letter,"Cohen, L.",None,None,
1,7,nsf_cor,NSF Correspondence,15,1_7_nsf_cor_15,"Sunderlin, C. E.",Letter to J. R. Killian,1956-09-10,65,65,carol,letter,"Killian, J. R.",None,None,
1,7,nsf_cor,NSF Correspondence,16,1_7_nsf_cor_16,,Digital Computer Operation and Utilization Proposal,,72,80,carol,proposal,,,,
1,7,nsf_cor,NSF Correspondence,17,1_7_nsf_cor_17,,,,81,82,carol,,,,,
1,7,nsf_cor,NSF Correspondence,18,1_7_nsf_cor_18,,,,83,84,carol,,,,,
1,7,nsf_cor,NSF Correspondence,19,1_7_nsf_cor_19,,,,85,86,carol,,,,,
1,7,nsf_cor,NSF Correspondence,20,1_7_nsf_cor_20,,,,87,88,carol,,,,,
1,8,rockefeller,Rockefeller Foundation,1,1_8_rockefeller_1,,TBD,,1,99,myke,,,,,
1,8,rockefeller,Rockefeller Foundation,1,1_8_rockefeller_1,"Morse, Philip M. ",,,,,,,,,,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,1,1_3_statistical_service_center_1,"Boyd, H. R.",Rockefeller Differential Analyzer (RDA),1952-11-07,1,11,stephan,memo,"Snyder, Joseph","Morse, Philip M.; Floe, C.; Draper, C. S.; Watriss, F.; Little, J.; Foster, F. L.; Verzuh, F. M.",Includes three appendices,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,2,1_3_statistical_service_center_2,"Caldwell, S. H.",Letter to C. S. Draper,1950-06-22,12,14,stephan,letter,"Caldwell, S. H.","Hazen, H. L.; Sherwood, T. K.; Stratton, J. A.; Tucker, C. E.; Sage, N. Mcl.; Cusick, Paul; Coleman, A.; Verzuh, F. M.",,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,3,1_3_statistical_service_center_3,"Coleman, Albert F.",Letter to Samuel H. Caldwell,1950-07-05,15,15,stephan,memo,"Caldwell, S. H.","Sage, N. M.; Draper, C. S.; Cusick, Paul; Forbes, H. M.; Tamblyn, R. S.",,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,4,1_3_statistical_service_center_4,"Boyd, H. R.",Instrumentation Laboratory Use of the Rockefeller Differential Analyzer,1951-03-30,16,17,stephan,memo,"Verzuh, F. M.","Morse, Philip M.; Draper, C. S.; Wrigley, W.; Laning, J. H.; Foster, F. L.; Cusick, Paul; Aronson, J. D.; Houston, F. E.; Gras, R. W.; Green, W. D.;",,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,4,1_3_statistical_service_center_4,"Verzuh, F. M.",Memo concering use of the Card Programmed Calculator,1953-03-17,18,19,stephan,memo,"Boyd, H. R.; Foster, F. L.; Little, J. A.; Morse, Philip M.; Sawyer, H. A.; Watriss, F. W.",,,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,5,1_3_statistical_service_center_5,"Verzuh, F. M.",Contract AF33(616)-128 Expenditure Order NO. R-466 BR-1,1953-03-05,20,20,stephan,memo,"Henry, H. C.","Little, E. P.; Morse, Philip M.; MIT Patent Office",,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,6,1_3_statistical_service_center_6,"Verzuh, F. M.",Letter to Philip Morse,1952-11-04,21,21,stephan,memo,"Morse, Philip M.",None,attachment: 1_3_statistical_service_center_6,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,7,1_3_statistical_service_center_7,"Verzuh, F. M.",Revised Rate Structure for the Office of Statistical Services for the Fiscal Period 1952-1953,1952-10-27,22,31,stephan,report,None,None,alternative date: 1952-11-03,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,8,1_3_statistical_service_center_8,"Snyder, Joseph",Office of Statistical Services,1952-12-23,32,34,stephan,memo,"Verzuh, F. M.",None,None,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,9,1_3_statistical_service_center_9,"Verzuh, F. M.",Memo concerning meeting on 1952-12-30,1952-12-29,35,35,stephan,memo,"Boyd, H. R.; Cusick, Paul; Little, J. A.; Morse, Philip M.; Sawyer, H. A.; Seamans, R. C.; Snyder, J. J.; Watriss, F. W.;",None,None,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,10,1_3_statistical_service_center_10,"Verzuh, F. M.",Letter concerning Computation by Pnuched-Card Methods,1952-11-21,36,40,stephan,letter; syllabus,"Brown, G. S.",None,outlines new class on computation by punched-card methods,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,11,1_3_statistical_service_center_11,"Verzuh, F. M.",Memorandum on the Proposed Space Change for the Office of Statistical Services,1952-07-30,41,49,stephan,letter; report,"Stratton, J. A.","Snyder, Joseph; Morse, Philip M.; Little, J. A.",None,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,12,1_3_statistical_service_center_12,"Verzuh, F. M.",Memo to F. M. Verzuh,1954-08-03,50,51,stephan,memo,"Verzuh, F. M.","Snyder, Joseph; Morse, Philip M.; Little, J. A.; MacKinnon, Mr.",None,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,13,1_3_statistical_service_center_13,Office of Statistical Services,Statistical Services 2935 Account,1956-09-18,52,54,stephan,invoice,"Verzuh, F. M.",None,None,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,13,1_3_statistical_service_center_13,Office of Statistical Services,Statistical Services 2935 Account,1956-04-30,55,55,stephan,invoice,"Morse, Philip M.",None,None,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,14,1_3_statistical_service_center_14,Office of Statistical Services,List of Reports Issued,None,56,59,stephan,list,None,None,None,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,14,1_3_statistical_service_center_14,Office of Statistical Services,List of Reports Issued,None,60,63,stephan,list,None,None,None,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,14,1_3_statistical_service_center_14,Office of Statistical Services,List of Reports Issued,None,64,67,stephan,list,None,None,None,
1,3,statistical_service_center,Statistical Services Center. 1952-1955,13,1_3_statistical_service_center_13,Office of Statistical Services,Statistical Services 2935 Account,1956-01-13,68,68,stephan,invoice,"Morse, Philip M.",None,None,
